name,position,projection,salary
Brandon Bass,C/PF,22.239150,7800
Avery Bradley,PG/SG,21.745551,8500
Jordan Crawford,PG/SG,26.789779,10000
Vitor Faverani,C,10.484073,5000
Jeff Green,SG/SF,22.650196,8800
Kris Humphries,PF,12.833403,6450
Courtney Lee,SG/SF,11.267762,5000
Kelly Olynyk,C,13.279422,7100
Phil Pressey,PG,7.247689,5000
Jared Sullinger,C/PF,24.900926,12000
Gerald Wallace,PF/SF,13.130279,5700
Rasual Butler,None,4.483056,-1
Chris Copeland,None,4.868327,-1
Paul George,SG/SF,41.656203,16050
Danny Granger,SF,9.024888,5750
Roy Hibbert,C,30.738969,9500
George Hill,PG/SG,23.572726,8100
Orlando Johnson,SF,6.173790,5000
Ian Mahinmi,C,9.292820,5000
Luis Scola,C/PF,15.776943,6700
Donald Sloan,None,7.059351,-1
Lance Stephenson,SG,27.286104,10600
C.J. Watson,PG,13.148417,5000
David West,PF,29.155238,10450
Matt Barnes,SF,17.770805,5650
Darren Collison,PG,12.195190,6200
Jamal Crawford,PG/SG,19.968654,9750
Jared Dudley,SG/SF,15.573761,8300
Willie Green,SG,7.795102,5000
Blake Griffin,C/PF,43.347232,14850
Ryan Hollins,C,3.649872,5000
Stephen Jackson,None,4.652984,-1
Antawn Jamison,PF,9.791816,5000
DeAndre Jordan,C,23.517854,12800
Chris Paul,PG,41.147183,18750
Jose Barea,None,16.397917,-1
Corey Brewer,SG/SF,20.388234,7000
Dante Cunningham,PF,15.081795,5000
Gorgui Dieng,C,7.987418,5000
Kevin Love,C/PF,51.383845,19300
Kevin Martin,SG/SF,30.962855,10150
Luc Mbah a Moute,None,12.019409,-1
Nikola Pekovic,C,38.228861,11250
A.J. Price,PG,2.286540,5000
Ricky Rubio,PG,32.882548,12050
Alexey Shved,PG/SG,6.548986,5000
Steven Adams,C,12.243920,5000
Nick Collison,C/PF,9.620201,5000
Kevin Durant,PF/SF,41.737025,19000
Derek Fisher,None,6.599788,-1
Serge Ibaka,C/PF,27.830202,10700
Reggie Jackson,PG,21.527958,8150
Jeremy Lamb,SG/SF,15.713551,7200
Kendrick Perkins,C,9.562170,5000
Thabo Sefolosha,SG/SF,15.704148,6400
Russell Westbrook,PG,36.164465,16150
DeMar DeRozan,SG/SF,31.151343,13450
Tyler Hansbrough,C/PF,13.002593,5000
Chuck Hayes,C/PF,6.975232,5000
Amir Johnson,C/PF,23.761765,9750
Kyle Lowry,PG,31.281349,12050
Patrick Patterson,C/PF,15.632644,6200
Terrence Ross,SG/SF,13.263098,7800
John Salmons,SG/SF,14.085662,5000
Jonas Valanciunas,C,24.204107,9950
Greivis Vasquez,PG/SG,19.069197,7300
